stone	lithiase
diets	régimes
hirudin	hirudine
Pathogenicity	Pathogénicité
contraction	contraction
COX-2	COX-2
Renal failure	Insuffisance rénale
antibiotic therapy	antibiothérapie
menopause	ménopause
diagnosis	diagnostic
Bactrim	bactrim
flashback	flashback
cholecalciferol	cholécalciférol
Hygiene	Hygiène
capsule	gélule
aneurysm	anévrisme
Hyperkalemia	Hyperkaliémie
antibiotic	antibiotique
Health statistics	Statistiques sanitaires
Bacteria	Bactéries
ectopic pregnancy	grossesse ectopique
biofeedback	biofeedback
spinal	rachianesthésie
Serum	Sérum
relaxation	décontraction
hyaline cartilage	cartilage hyalin
anatomically	anatomiquement
capsulorrhaphy	capsulorraphie
sensor	capteur
Etiology	Etiologie
arrythmia	arythmie
adrenal glands	surrénales
supplies	fournitures
ACR	ACR
Infestation	Infestation
ethmoid bone	ethmoïde
venous plexus	réseau veineux
Fertility	Fécondité
connector	connecteur
in adults and older children	grand enfant
fungus	champignon
stroke	AVC
basal cells	cellules basales
carboplatin	carboplatine
stroke	coup
Hepatitis A	Hépatite A
patient	patient
measles	rougeole
antioxidant	anti-oxydant
defect	défaut
staining	coloration
heart rate	fréquence cardiaque
fluoxetine	fluoxétine
postmortem examination	examen post-mortem
catecholamines	catécholamines
weight	poids
angina	angine
enteritis	entérite
bronchitis	bronchite
anti-androgenic	antiandrogénique
Redness	Rougeur
Genital herpes	Herpès génital
Mathematical model	Modèle mathématique
Purkinje cell	cellule de Purkinje
tumor	tumeur
arsenic	arsenic
Medical statistics	Statistiques médicales
synovial chondromatosis	chondromatose synoviale
Proportion	Proportion
Chemoprophylaxis	Chimioprophylaxie
ulna	cubitus
disc	disque
data	données
sickle cell anemia	drépanocytose
Photosensitivity	Photosensibilité
stearic acid	acide stéarique
status	statut
laryngitis	laryngites
visual field	champ visuel
chronicity	chronicité
balloon	ballonnet
Anoxia	Anoxie
hip	hanche
Anti-inflammatory	Anti-inflammatoire
uterine fibroids	fibromes utérins
intensive care	réanimation
osteoarthritis	ostéoarthrite
cyanocobalamin	cyanocobalamine
girdle	ceinture
knees	genoux
contusions	contusions
Model	Modèle
swelling	gonflement
Dermatology	Dermatologie
Norm	Norme
circumcision	circoncision
coronary artery	artère coronaire
cortical	cortical
Validation	Validation
Infection	Infection
arteriovenous fistula	fistule artério-veineuse
hypoglycaemia	hypoglycémie
Illness	Maladie
deltoid muscle	deltoïde
Standard	Standard
Worm	Ver
size	format
elbow	coude
Fetal death	Mort foetale
cystitis	cystite
Effectiveness	Efficacité
Cardiovascular	CV
conjugate	conjugué
areola	aréole
embolism	embolie
downward	vers le bas
surgeon	chirurgien
hepatitis	hepatite
autistic child	enfant autistique
sequelae	séquelles
conventional	conventionnel
angioplasty	angioplastie
strut	entretoise
anaesthetic	anesthésique
Reproducibility	Reproductibilité
androgen	androgène
therapeutic tools	outils thérapeutiques
hair	cheveu
collagenosis	collagénose
Virulence	Virulence
Quality of life	Qualité de vie
antenna	antenne
dyspepsia	dyspepsie
aortic	aortique
hemothorax	hémothorax
chondrosarcoma	chondrosarcome
strain	souche
goiter	goitre
Therapy	Thérapie
fluoroscopy	fluoroscopie
Estimation	Estimation
pathogens	agent pathogène
extracorporeal	extracorporel
analyser	analyseur
fibroids	fibromes
femoro-femoral	fémoro-fémoral
hemostasis	hémostase
chemotherapy	chimiothérapie
wheelchair	fauteuil roulant
Tissue	Tissu
humerus	humérus
Incidence	Incidence
chondrotomy	chondrotomie
follow up	suivi
colon	côlon
urinalysis	examen des urines
atelectasis	atélectasie
hemangioma	hémangiome
tremor	tremblement
Response rate	Taux de réponse
adduction	adduction
densitometry	densitométrie
eyeground	fond d'oeil
Keratosis	Kératose
Retrovirus	Rétrovirus
Electrolysis	Electrolyse
aphrodisiac	aphrodisiaque
hyperventilation	hyperventilation
hemarthrosis	hémarthrose
Control	Contrôle
Cold abscess	Abcès froid
blepharitis	blépharite
coxalgia	coxalgie
Carrier	Porteur
suction	succion
dura	dure-mère
keratinocyte	kératinocyte
clinical history	antécédents cliniques
Adjustment	Ajustement
meibomian gland	glande de Meibomius
Overdose	Surdosage
birth control	contraception
Community medicine	Médecine communautaire
South America	Amérique du Sud
abnormal pap smear	frottis anormal
vertigo	vertige
hepatitis	hépatites
switch	en relai
balance	equilibre
hydrocortisone	hydrocortisone
Hypothesis	Hypothèse
Quality control	Contrôle de la qualité
mammal	mammifère
biocompatible	biocompatible
neck	collet
amyloidosis	amylose
Cyst	Kyste
cartilages	cartilages
Europe	Europe
cardiomyopathy	cardiomyopathie
Recrudescence	Recrudescence
ciproflox	ciproflox
biceps muscle	biceps
dermatitis	dermatose
cold	rhume
Case control study	Etude cas-témoins
avulsion	avulsion
Cross-sectional study	Etude transversale
chondromalacia	chondromalacie
verification	vérification
debridement	débridement
Prevention	Prévention
homocystinuria	homocystinurie
associated	associé
latissimus dorsi muscle	grand dorsal
gallstones	calculs biliaires
Biometry	Biométrie
choline	choline
allergic	allergique
renal arteries	artères rénales
tracing	tracé
Immunization	Immunisation
medical devices	des dispositifs médicaux
rotator cuff	coiffe des rotateurs
Survey	Enquête
non-osteogenic fibroma	fibrome non ostéogénique
abdomen	abdomen
whooping cough	Coqueluche
cholesterol	cholestérol
control	contrôle
fainting	évanouissement
osteoarthritis of the knee	gonarthrose
Dermatologist	Dermatologue
Perinatal mortality	Mortalité périnatale
19-norprogesterone	19-norprogestérone
Renal biopsy	Biopsie rénale
naevus	naevus
antioxidant	antioxydantes
Classification	Classification
procedure	geste
varicose veins	varices
pin	broche
Infectious diseases	Maladies infectieuses
renal damage	atteinte rénale
manufacturer	fabricant
bladder	vessie
haemodynamic	hémodynamique
blood pressure	PA
dilatation	dilatation
proctology	proctologie
Nomogram	Nomogramme
Dermatose	Dermatose
Pill	Pilule
stress	stress
Atopic dermatitis	Dermatite atopique
abduction	abduction
flank	flanc
excitation	excitation
at rest	au repos
Heparin	Héparine
Association	Association
arteriotomy	artériotomie
chronic	chronique
antibiotic	antibiotiques
failure	défaillance
herniorrhaphy	herniorraphie
Quality of care	Qualité des soins
plex	Plex
wire	fil
contralateral	controlatéral
sequence	séquence
depolarization	dépolarisation
hypothermia	hypothermie
curettage	curettage
injury	blessure
disorder	affection
handling	manipulation
Chest pain	douleur thoracique
Raloxifene	Raloxifène
color	couleur
gastroenterologist	gastro-entérologue
claviculectomy	claviculectomie
appraisal	évaluation
cardiac arrest	arrêt cardiaque
pedicle graft	greffon pédiculé
chondrodystrophy	chondrodystrophie
Disinfection	Désinfection
Experimental study	Etude expérimentale
hyperplasia	hyperplasie
dosage	dosage
chromosome	chromosome
home care	soins à domicile
limb	membre
benzodiazepines	benzodiazépines
helmet	casque
pelvic girdle	ceinture pelvienne
Acne	Acné
Nephrology	Néphrologie
itching	démangeaisons
wall	paroi
hypertension	hypertension
cancer	cancer
osteomyelitis	osteomyelite
Methodology	Méthodologie
astroglia	astroglie
stress test	preuve d'effort
preservation	conservation
off-label	hors indication
nervous system	système nerveux
albumin	albumine
right atrium	oreillette droite
Testicle	Testicul
Trend	Tendance
scarlet fever	scarlatine
pancreatic cancer	cancer du pancréas
Survey methods	Méthodes d'enquête
inguinal hernia	hernie inguinale
lactate dehydrogenase	LD
pattern	disposition
congenital heart disease	cardiopathies congénitales
fibroscopy	fibroscopie
Pragmatic study	Etude pragmatique
home nursing care	soins infirmiers à domicile
surgical gloves	gants chirurgicaux
estrous cycle	cycle oestral
posture	attitude
hiatal hernia	hernie hiatale
Nephrectomy	Néphrectomie
shingles	zona
removal	exérèse
excretion	excrétion
ataxic	ataxique
femoral hernia	hernie fémorale
growth	croissance
thrush	muguet
skin	peau
tantrums	caprices
pleural cavities	cavités pleurales
Vaccination	Vaccination
radiotherapy	radiothérapie
Deduction	Déduction
fasciotomy	fasciotomie
generic	générique
Fermentation	Fermentation
colic	coliques
Systemic lupus erythematosus	Lupus érythémateux disséminé
discharge	ecoulement
develop	apparaître
anabolism	anabolisme
contact dermatitis	dermatite de contact
package	emballage
Lymphoma	Lymphome
dysmenorrhea	dysménorrhée
Erysipelas	Erysipèle
lump	bosse
hemochromatosis	hemochromatose
fetus	foetus
derivative	dérivé
purpura	purpura
Exposure	Exposition
Body mass index	BMI
hypothyroidism	hypothyroïdie
ganglionectomy	gangliectomie
mediated by	médié par
Vitiligo	Vitiligo
incus	enclume
hemoptysis	hémoptysie
spread	extension
Body mass index	Indice de masse corporelle
Life expectancy	Espérance de vie
Cleansing	Nettoyage
hypercalcemia	hypercalcémie
determination	détermination
antibacterial	antibactérienne
ischemic stroke	accident ischémique cérébral
conductivity	conductibilité
Antisepsis	Antisepsie
polythelia	polythélie
mating	accouplement
neuromuscular blocking agent	curare
treatment approach	approche thérapeutique
Coverage	Couverture
guiding catheter	cathéter-guide
Chloasma	Chloasma
sinus bradycardia	bradycardie sinusale
data	donnée
Fluconazole	Fluconazole
ferritin	ferritine
syringe pump	seringue autopulsée
medicine	médicaments
finding	découverte
pediculate	pédiculé
proximal end	extrémité proximale
fibromyalgia	fibromyalgie
Folliculitis	Folliculite
spleen	rate
fiberoptic	fibroscopie
lacuna	lacune
neutron beam	faisceau de neutrons
Sterile	Stérile
alkaline phosphatase	phosphatase alcaline
allergy	allergie
palmitic acid	acide palmitique
heart disease	maladie cardiaque
Cohort	Cohorte
instrument	instrument
anaesthesia	anesthésie
bone stock	capital osseux
Risk assessment	Evaluation du risque
osteoporosis	ostéoporose
bodies	corpuscules
bone graft	greffon osseux
gametocyte	gamétocyte
Cyclosporin	Cyclosporine
detoxication	désintoxication
intimal tear	déchirure de l'intima
supplying the brain	destinée cérébrale
Preventive medicine	Médecine préventive
muscular disease	affection musculaire
newborn	nouveau-né
United States	Etats-Unis
arachnoiditis	arachnoïdite
ratio	rapport
pathway	parcours
detection	détection
medical oncology	cancérologie médicale
sudden cardiac death	mort subite
endocrinology	endocrinologie
clip	agrafe
finger	doigt
gynecology	gynécologie
Pericarditis	Péricardite
iliac arteries	artères iliaques
Sequential analysis	Analyse séquentielle
normal pressure hydrocephalus	hydrocéphalie à pression normale
biocompatibility	biocompatibilité
distal end	extrémité distale
decubitus ulcer	escarre
effective	efficace
cornea	cornée
to tame	apprivoiser
Error	Erreur
histology	histologie
otitis media	otite moyenne aiguë
purposes	objectifs
cicatrizant	cicatrisante
Risk	Risque
Cancer registry	Registre du cancer
Ecological study	Etude écologique
findings	constatations
Abscess	Abcès
jaundice	jaunisse
New York Heart Association	NYHA
bronchospasm	bronchospasme
Lack	Carence
pouch	cul-de-sac
hoarseness	enrouement
refers to	correspond
Sample	Echantillon
Class	Classe
to promote	favoriser
Campylobacter	Campylobacter
Effect	Effet
warts	verrue
Pregnancy	Grossesse
suction cup	ventouse
strength	force
eczema	eczéma
femoral artery	artère fémorale
gauze	compresse
Dermis	Derme
cup	cotyle
collagen	collagène
affinity	affinité
gestational age	l'âge gestationnel
Demography	Démographie
comminutive fracture	fracture comminutive
Xenobiotic	Xénobiotique
calculus	calcul
Vector	Vecteur
Genetics	Génétique
afferent	afférent
cytolysis	cytolyse
Normal distribution	Distribution normale
linoleic acid	acide linoléique
Chemotherapy	Chimiothérapie
embolectomy	embolectomie
conclusions	conclusions
upward	vers le haut
physical activity	activité physique
atypical form of	forme atypique de
Compliance	Observance
endothelial	endothélial
Guidelines	recommandations
anterior	antérieur
rim	jante
help	aider
pantothenic acid	acide pantothénique
Hepatitis B	Hépatite B
parenchyma	parenchyme
polymyositis	polymyosite
excision	excision
splint	attelle
brain	cerveau
distress	détresse
antipyretic	antipyrétique
cardiopulmonary	cardiopulmonaire
abdominal aortic aneurysm	anévrisme de l'aorte abdominale
extemporaneous mixture	mélange extemporané
nucleic acid	acide nucléique
caudal	caudal
glioma	gliome
chondrodysplasia	chondrodysplasie
effusion	épanchement
Descriptive study	Etude descriptive
contracture	contracture
multiple sclerosis	sclérose en plaque
anxiety	anxiété
Concordance	Concordance
Reliability	Fiabilité
Inference	Inférence
mild	discret
carbohydrate	glucide
vitamin B12 deficiency	carence en vitamine B12
numbness	engourdissement
guideline	directives
biopsy	biopsie
Screening	Dépistage
cefaclor	céfaclor
endoplasm	endoplasme
buttock	fesse
rashes	éruptions
hemolysis	hémolyse
phlebitis	phlébite
avascular	avasculaire
Colonization	Colonisation
home health	aide a domicile
atonic	atonique
water-soluble	hydrosoluble
Trial	Essai
Medical audit	Audit médical
damage	dégât
elderly	âgé
pancreatitis	pancreatite
Herpes	Herpès
plug	bouchon
swelling	enflure
tumors	tumeurs
commitment	engagement
angina pectoris	angine de poitrine
consideration	considération
blister	cloque
buprenorphine	buprénorphine
heart	cœur
heparin	héparine
CAV	CAV
corpse	cadavre
B12	B12
Descriptive epidemiology	Epidémiologie descriptive
pancreatitis	pancréatite
illness	maladie
sputum	crachat
Pus	Pus
Death certificate	Certificat de décès
scalp	chevelu
Hemophilia A	hémophilie A
thoracic cavity	cavité thoracique
perfused	perfusé
brain surgery	chirurgie cérébrale
Delivery	Accouchement
gynecomastia	gynecomastie
False positive	Faux positif
audiology	audiologie
rating	évaluation
prostatitis	prostatite
flat feet	pieds plats
efferent	efférent
anastomosis	anastomose
cardiac arrest	arrêt du coeur
hematuria	hématurie
tonsillitis	amygdalite
radioulnar joint	articulation radio-cubitale
self-expanding	expansible
Frequency	Fréquence
in patient	hospitalisé
spinal cord	moelle epinière
umbilical hernia	hernie ombilicale
Canker	Chancre
fibre	fibre
hypoplasia	hypoplasie
Parameter	Paramètre
portal	porte
cefazolin	céfazoline
oats	avoine
predisposing factor	facteur prédisposant
Brain natriuretic peptide	BNP
Taxonomy	Taxinomie
femoral	fémoral
autoimmune	autoimmune
Hyperphosphatemia	Hyperphosphatémie
False negative	Faux négatif
general anaesthesia	anesthésie générale
moderate	modéré
Malignant melanoma	Mélanome malin
hyperthyroidism	hyperthyroïdie
diabetic	diabétique
blood sugar	la glycemie
Function	Fonction
Contamination	Contamination
Health	Santé
test	examen
arbitrarily	arbitrairement
alcoholism	alcoolisme
death	décès
behavior	comportement
site	endroit
check-up	bilan de santé
fibrosis	fibrose
arteriovenous	artério-veineux
biological activity	activité biologique
keloid	chéloïde
antidepressant	antidépressif
bound	fixé
bronchoscopy	bronchoscopie
approximately	environ
perinatal mortality	mortalité périnatale
cellulitis	cellulite
dendrite	dendrite
Contra-indication	Contre-indication
Probability	Probabilité
atopic	atopique
clinical trial	essai clinique
Validity	Validité
clamp	pince
benefit	bénéfice
angiography	angiographie
Azotemia	Azotémie
antiallergen	antiallergique
allergology	allergologie
Seroepidemiology	Séroépidémiologie
hypnotic	hypnotique
diuretic	diurétique
Statistics	Statistiques
oral contraceptives	contraceptifs oraux
mesenteric artery	artère mésentérique
ventricle	ventricule
Dermatophyte	Dermatophyte
IDDM	DID
loosening	descellement
attachment	attachement
diaphragm	diaphragme
functional	fonctionnelle
medications	médicaments
vertebral body	corps vertébral
loss of consciousness	Perte de connaissance
Life events	Evénements de la vie
degeneration	dégénérescence
Actinic keratosis	Kératose actinique
vascular prosthesis	prothèse vasculaire
exostosis	exostose
atria	oreillettes
nightmares	cauchemars
antiradical	antiradicalaire
haemolytic anaemia	anémie hémolytique
bacteriology	bactériologie
convulsion	convulsion
Decision analysis	Analyse décisionnelle
Chromosome	Chromosome
back pain	douleurs dorsales
barbiturate	barbiturique
calcified	calcifié
eclampsia	clampsie
muscle relaxant	relaxant musculaire
fasciitis	aponévrosite
