aplasia	aplasie
antibiotic	antibiotiques
bactericidal	bactéricide
clamp	pince
aortic	aortique
clinical trial	essai clinique
ethmoid bone	ethmoïde
growth	croissance
metabolism	métabolisme
sinus bradycardia	bradycardie sinusale
reasonable	acceptable
capsule	gélule
arterial	artériel
atherosclerosis	athérosclérose
Guidelines	recommandations
swelling	gonflement
finger	doigt
heel	talon
excitability	excitabilité
weight	poids
embolus	embole
ataxic	ataxique
Genetics	Génétique
on average	en moyenne
creatinine	créatinine
joints	articulations
Maternal death	Décès maternel
Multiple regression	Régression multiple
Cellulitis	Cellulite
angiography	angiographie
Hygiene	Hygiène
distal	distal
straight	droit
exostosis	exostose
hypoglycaemia	hypoglycémie
Vitiligo	Vitiligo
cardiac index	index cardiaque
fusion	fusion
chemotherapeutic	chimiothérapeutique
deformability	déformabilité
peptic	pepsique
diuretics	diurétiques
bladder	vessie
hardness	dureté
exploratory	exploratrice
training	formation
articular	articulaire
stroke	AVC
alleviate	atténuer
brain surgery	chirurgie cérébrale
COMP	COMP
check-up	bilan de santé
homocystinuria	homocystinurie
gangrene	gangrène
axon	axone
gastroenterology	gastro-entérologie
discectomy	discectomie
corticosteroids	corticostéroïdes
Herpes zoster	Zona
dysmenorrhea	dysménorrhée
Predictive value	Valeur prédictive
buprenorphine	buprénorphine
upper limbs	membres supérieurs
angina pectoris	angine de poitrine
atonic	atonique
diarrhoea	diarrhée
genomics	génomique
antioxidant	anti-oxydant
Retrograde cystography	Cystographie rétrograde
measles	rougeole
angina	angine
carboplatin	carboplatine
self-expanding	expansible
paresis	parésie
sputum	expectoration
circumduction	circumduction
embolectomy	embolectomie
cardiopulmonary	cardiopulmonaire
