knee joint	articulation du genou
platelet aggregation	agrégation plaquettaire
fibroscopy	fibroscopie
detoxication	désintoxication
type 1 diabetes	diabète type 1
effective	efficace
non-osteogenic fibroma	fibrome non ostéogénique
ringworm	teigneux
Life expectancy	Espérance de vie
Heparin	Héparine
ventricular fibrillation	fibrillation ventriculaire
linoleic acid	acide linoléique
Dry skin	Peau sèche
polymyositis	polymyosite
uric acid	acide urique
disability	handicap
original	d'origine
band	bande
Bimodal distribution	Distribution bimodale
swelling	enflure
derivative	dérivé
heart rate	fréquence cardiaque
gestational age	l'âge gestationnel
salvage treatment	traitement de rattrapage
stearic acid	acide stéarique
arachnoiditis	arachnoïdite
cortical	cortical
Torsion of the testicle	Torsion du testicule
amyotrophy	amyotrophie
Health services	Services de santé
data	données
United States	Etats-Unis
IDDM	DID
postmortem examination	examen post-mortem
antibiotic sensitivity test	antibiogramme
seizures	convulsions
abduction	abduction
patient pathway	parcours du patient
Norm	Norme
sputum	expectoration
Case	Cas
antenna	antenne
stores	réserves
anti-androgenic	antiandrogénique
alleviation	atténuation
bursitis	bursite
neurogenic	d'origine nerveuse
chondroma	chondrome
Health survey	Enquête de santé
Mutation	Mutation
Chronic	Chronique
QRS complex	complexe QRS
therapeutic tools	outils thérapeutiques
femoral hernia	hernie crurale
ST segment	segment ST
Confidentiality	Confidentialité
embolism	embolie
Pericarditis	Péricardite
Immunization	Immunisation
strut	entretoise
urine culture	ECBU
fibrocartilage	fibrocartilage
antibacterial	antibactérienne
diagnostic	diagnostique
follow-up	devenir
corticosteroids	corticostéroïdes
venous plexus	réseau veineux
Hepatitis B	Hépatite B
beta blockers	bêta-bloquants
arthrolysis	arthrolyse
ADL	AVQ
Metoclopramide	Métoclopramide
folate deficiency	carence en folates
band	bandelette
Serum	Sérum
heart disease	maladie cardiaque
proctology	proctologie
conformity	conformité
instrument	instrument
mammal	mammifère
bronchoscopy	bronchoscopie
hyperemia	hyperémie
agonist	agoniste
at rest	au repos
lower limbs	membres inférieurs
discharge	écoulement
death	mort
Pharmacoepidemiology	Pharmacoépidémiologie
splint	attelle
sample	échantillon
hypertension	hypertension
platelets	plaquettes
Brain natriuretic peptide	BNP
atypical form of	forme fruste de
Hyperparathyroidism	Hyperparathyroïdisme
gynecomastia	gynecomastie
peptic	pepsique
typology	typologie
migraine	migraine
attachment	attachement
Questionnaire	Questionnaire
19-norprogesterone	19-norprogestérone
Antigenic drift	Dérive antigénique
muscle relaxant	relaxant musculaire
Antigen	Antigène
muscular disease	affection musculaire
albuminuria	albuminurie
femoral artery	artère fémorale
low energy	faible énergie
Coverage	Couverture
SCLC	CPPC
osteoarthritis of the knee	gonarthrose
Cellulitis	Cellulite
Symptomatic treatment	Traitement symptomatique
cisplatin	cisplatine
acne rosacea	couperose
vitamin B12 deficiency	carence en vitamine B12
aspergillus	aspergillus
osteogenic fibroma	fibrome ostéogénique
alcoholism	alcoolisme
glucose	glucose
head injury	traumatisme crânien
choline	choline
Health	Santé
rod	Tige
downward	vers le bas
jealousy	jalousie
child	enfant
intraocular pressure	la pression intraoculaire
infection	infection
Cyanosis	Cyanose
inflamed	enflammé
basal cells	cellules basales
Model	Modèle
antrum	antre
cephalexin	céfalexine
neutron beam	faisceau de neutrons
arteriotomy	artériotomie
diarrhoea	diarrhée
cardiotomy	cardiotomie
brightness	brillance
Genome	Génome
arthroplasty	arthroplastie
discharge	ecoulement
amikacin	amikacine
communication	communication
multiple sclerosis	sclérose en plaque
aortic	aortique
capsulotomy	capsulotomie
home health	aide a domicile
retrospective chart review	analyse rétrospective des dossiers médicaux
anatomy	anatomie
enteritis	entérite
help	aider
myocardial ischemia	MI
neurological examination	examen neurologique
bed rest	repos au lit
diets	régimes
colon	côlon
Paradigm	Paradigme
thrill	frémissement
Vaccination	Vaccination
drip	goutte à goutte
Maternal death	Décès maternel
chromosome	chromosome
muscle wasting	atrophie musculaire
epidural fibrosis	fibrose épidurale
Locus	Locus
Epidermis	Epiderme
cardiac arrhythmias	arythmies cardiaques
dopamin	dopamine
latissimus dorsi muscle	grand dorsal
hematomas	hematomes
genu varum	genu varum
homocystinuria	homocystinurie
Scar	Cicatrice
erythrocyte	hématie
sexually transmitted disease	maladie sexuellement transmissible
spermicide	spermicide
guiding catheter	cathéter-guide
foreign bodies	corps étrangers
Detection	Détection
fasting	jeune
confirmatory	confirmatoire
Fluconazole	Fluconazole
Diagnosis	Diagnostic
anxiety	anxiété
color	couleur
complaint	doléance
pediculate	pédiculé
warts	verrue
manufacturer	fabricant
hearing aid	auditive
mild	discret
Cyclooxygenase	Cyclo-oxygénase
to trigger	déclencher
rotator cuff	coiffe des rotateurs
hypoglycaemic	hypoglycémiant
tonsillitis	angine
corticosteroid	corticostéroïde
consideration	fait
blood-brain barrier	barrière hémato-encéphalique
in development	en cours de développement
dialyzer	dialyseur
afferent	afférent
component	composant
Testis	Testicule
measles	rougeole
atria	oreillettes
strength	la force
aortic bifurcation	bifurcation aortique
package	emballage
surgical	chirugicale
calcified	calcifié
stone	lithiase
arthrotomy	arthrotomie
scarlet fever	scarlatine
bradycardia	bradycardies
concha	cornet
healthy tissue	tissus sains
fluoxetine	fluoxétine
glenoid	glénoïde
diaphyseal dysplasia	dysplasie diaphysaire
Chloasma	Chloasma
Purkinje cell	cellule de Purkinje
ventricle	ventricule
Episode	Episode
comments	commentaires
Overdose	Surdosage
epilepsy	epilepsie
inguinal hernia	hernie inguinale
Hygiene	Hygiène
congestion	congestion
glycosaminoglycans	glycosaminoglycanes
aloe	aloès
fasciectomy	fasciectomie
sedation	sédation
punishment	punitions
arthrography	arthrographie
acetabular	cotyloïdien
hydroxy	hydroxy
profiling	profilage
lung disease	maladie pulmonaire
biological activity	activité biologique
leukemia	leucemie
Medical record	Dossier médical
abdominal aortic aneurysm	anévrisme de l'aorte abdominale
cholecalciferol	cholécalciférol
nasal cartilages	cartilages du nez
food allergy	allergie alimentaire
Staphylococcus	Staphylocoque
sweat gland	glande sudoripare
anesthetic	anesthesique
anuria	anurie
lung abscess	abcès pulmonaire
Australia	Australie
femoro-femoral	fémoro-fémoral
anal sex	rapports anaux
Physician	Médecin
focused	concentré
sealed	fermé
anterior	antérieur
Effect	Effet
chondromatosis	chondromatose
activated charcoal	charbon activé
driver	conducteur
stroke volume	volume systolique
Clinical trial	Essai clinique
fatigue	fatigue
pregnant	enceinte
mental deficiency	déficience mentale
Lack	Carence
hyperglycaemia	hyperglycémie
arsenic	arsenic
Variola	Variole
gestodene	gestodène
uterine fibroids	fibromes utérins
brain	cerveau
Ecology	Ecologie
Avulsion	Avulsion
ascorbic acid	acide ascorbique
Virulence	Virulence
antipyretic	antipyrétique
sudden cardiac death	mort subite
dysostosis	dysostose
angina	angine
air embolism	embolie gazeuse
Latent infection	Infection latente
Standard	Standard
Topical treatment	Traitement topique
anticonvulsant	anticonvulsivant
hypnosis	hypnose
concurrent	simultanée
dysmenorrhea	dysménorrhée
baldness	calvitie
Hemophilia A	hémophilie A
Albinism	Albinisme
foods	nourriture
exostosis	exostose
choroiditis	choroïdite
Contra-indication	Contre-indication
to tame	apprivoiser
Penetrance	Pénétrance
Infestation	Infestation
Impact	Impact
infusion	perfusion
deformitie	déformation
embryo	embryon
Oedema	Oedème
hirudin	hirudine
hypothyroidism	hypothyroïdie
ascites	ascite
amyloidosis	amylose
aspartate aminotransferase	AST
emesis	vomissement
flashback	flashback
astroglia	astroglie
category	catégorie
administrative tasks	tâches administratives
hemolysis	hemolyse
attachment	ancrage
water-soluble	hydrosoluble
boil	clou
hydroxyapatite	hydroxy-apatite
Individual variation	Variation individuelle
ventricular shunt	dérivation ventriculaire
hard	induré
oleic acid	acide oléique
oral liquid	buvable
embolization	embolisation
atheromatosis	athéromatose
medical device	dispositifs médicaux
artery	artère
hemarthrosis	hémarthrose
Hydration	Hydratation
kit	trousse
Descriptive study	Etude descriptive
disk	disque intervertébral
contralateral	controlatéral
angiographic	angiographique
spleen	rate
Frequency	Fréquence
Theoretical epidemiology	Epidémiologie théorique
Mathematical model	Modèle mathématique
antirheumatic	antirhumatismal
Arnica	Arnica
Rest	Repos
compensatory mechanisms	mécanismes de compensation
Adenomyoma	Adénomyome
endocrinal	endocrinien
colectomy	colectomie
chondrodystrophy	chondrodystrophie
Antibiotic	Antibiotique
acromion	acromion
Class	Classe
aortic arch	arc aortique
cardiologist	cardiologue
Vesicle	Vésicule
calculus	calcul
Anti-infective	Anti-infectieux
diabetes mellitus	diabète sucré
experience	expérience
cartridge	cartouche
chemotherapeutic	chimiothérapeutique
check-up	bilan de santé
androgen	androgène
antitussive	antitussif
reconstructive surgery	chirurgie reconstructrice
resuscitation	réanimation
injury	blessure
anatomically	anatomiquement
motor system	appareil moteur
cleidocranial dysostosis	dysostose cléido-crânienne
ethmoid bone	ethmoïde
case	cas
Chemotherapy	Chimiothérapie
ergot	ergoline
medicinal products	produits pharmaceutiques
discharge	sortie d'hôpital
fusion	fusion
anti-psychotic	antipsychotique
endothelium	endothélium
lung	le poumon
collagenosis	collagénose
carcinogenic	carcinogénique
fascia	fascia
pleural cavities	cavités pleurales
diarrhea	diarrhées
Histoplasma	Histoplasma
Dermatophyte	Dermatophyte
hoarseness	enrouement
findings	constatations
fistula	fistule
Eczema	Eczéma
malaria	paludisme
Europe	Europe
coronary artery	artère coronaire
chondroblast	chondroblaste
oats	avoine
foetal distress	souffrance foetale
allopathy	allopathie
Correlation	Corrélation
Antigenicity	Antigénicité
Causality	Causalité
recovery	réanimation
kyphosis	cyphose
speech therapy	orthophoniste
Exposure	Exposition
stability	statique
chemiluminescence	chimioluminescence
articular	articulaire
Classification	Classification
pin	broche
Genital herpes	Herpès génital
switch	en relai
Home care	Soins à domicile
circumduction	circumduction
probe	sonde
level	niveau
vascular tree	arbre vasculaire
Estimator	Estimateur
spinal	rachianesthésie
antibiotic therapy	antibiothérapie
endometrium	endometre
Nomenclature	Nomenclature
asthma	asthme
varicose veins	varices
Raloxifene	Raloxifène
batch	lot
stress test	preuve d'effort
degenerative	dégénératif
follow up	suivi
acetabulum	acetabulum
purpura	purpura
abnormalities	anomalies
bronchitis	bronchite
bone marrow	moelle osseuse
strangulated hernia	hernie étranglée
Descriptive epidemiology	Epidémiologie descriptive
hereditary	héréditaire
cytoplasm	cytoplasme
empyema	empyème
syringe pump	seringue autopulsée
contrast	contraste
Nephrectomy	Néphrectomie
fasciotomy	fasciotomie
Body mass index	Indice de masse corporelle
diaphragm	diaphragme
tinnitus	acouphène
Familial disease	Maladie familiale
pedicle graft	greffon pédiculé
Vector	Vecteur
otitis media	otite moyenne aiguë
extracorporeal	extracorporel
lymphoid follicle	follicule lymphoïde
Aesthetic	Esthétique
pins	tiges
Genetics	Génétique
antidiabetic	antidiabétique
gynecology	gynécologie
L-tryptophan	L-tryptophane
Drift	Dérive
hemopoietic	hématopoïétique
coordination	coordination
Decision analysis	Analyse décisionnelle
bodies	corpuscules
calcification	calcification
anephric	anéphrique
convulsions	convulsions
Underestimation	Sous-estimation
Risk	Risque
epilepsy	épilepsie
Malignant melanoma	Mélanome malin
cartilages	cartilages
fibrosis	fibrose
androgenic	androgénique
audiology	audiologie
isolation	Isolement
camphor	camphre
cavity	carie
Doppler ultrasonography	echographie doppler
hallux valgus	hallux valgus
operation	fonctionnement
carpal tunnel syndrome	Syndrome du canal carpien
local anaesthesia	anesthésie locale
gastrointestinal	gastrointestinal
antiphlogistic	antiphlogistique
Survey	Enquête
Campylobacter	Campylobacter
Methodology	Méthodologie
Peritoneal dialysis	Dialyse péritonéale
explanation	explication
hyperactivity	hyperactivité
leaflet	notice
hernioplasty	hernioplastie
cardiomyopathy	cardiomyopathie
Symbiosis	Symbiose
Erythropoietin	érythropoïétine
bladder distension	globe vésical
dermatitis	dermite
Ecological study	Etude écologique
Skin reaction	Réaction cutanée
user friendly	convivial
experienced	expérimenté
in the field of	dans le domaine de
carrier	porteur
biliary colic	colique hépatique
Measurement	Mesure
bacterium	bactérie
alkaloid	alcaloïde
cerebral palsy	paralysie cérébrale
folliculitis	folliculite
impairment	gêne
Seroepidemiology	Séroépidémiologie
oral contraceptive	contraceptif oral
anaesthesiology	anesthésiologie
Health education	Education sanitaire
behavioral	comportemental
hydroxymethyl	hydroxyméthyl
anaphylactic	anaphylactique
Cyclosporin	Cyclosporine
Regression	Régression
COX-1	COX-1
biceps muscle	biceps
hot flashes	bouffées de chaleur
Family	Famille
Hyperkalemia	Hyperkaliémie
clot	caillot
TB	tuberculose
anthocyanins	anthocyanes
allergic response	réaction allergique
Creatinine	Créatinine
diabetic	diabétique
endometriosis	endometriose
biofeedback	biofeedback
Cholesteatoma	Cholestéatome
distress	souffrance
Fermentation	Fermentation
catabolism	catabolisme
COUGH	TOUX
Biostatistics	Biostatistiques
flu	grippe
swelling	gonflement
pancreatic cancer	cancer du pancréas
engineering	génie
disorders	anomalies
Azathioprine	Azathioprine
Baldness	Calvitie
atonic	atonique
Yellow fever	fièvre jaune
groin	aine
skin graft	greffe cutanée
antioxidant	antioxydantes
T wave	onde T
infectious diseases	maladies infectieuses
Acarid	Acarien
effusion	épanchement
Population	Population
itching	démangeaisons
hypotensive	hypotendu
urinary infection	infection urinaire
Contamination	Contamination
shingles	zona
carotene	carotène
Wrinkle	Ride
Albino	Albinos
abdominal	abdominal
tumour	tumeur
pancreatitis	pancreatite
cholesterol	cholestérol
of reproductive age	en âge de procréer
Protocol	Protocole
Seborrhea	Séborrhée
Allergy	Allergie
Passage	Passage
humanized	humanisé
ganglionectomy	gangliectomie
wire	fil
headache	céphalée
hypotension	hypotension
capsule	gélule
Chromosome	Chromosome
dissociation	dissociation
Retrovirus	Rétrovirus
Trial	Essai
discography	discographie
yawning	baillement
PPAR	PPAR
Cohort	Cohorte
cavity	cavite
cardiac arrest	arrêt du coeur
Sequential analysis	Analyse séquentielle
hepatitis	hépatites
disease	maladie
fracture	fracture
rheumatoid arthritis	arthrite rheumatoide
haemorrhoids	hémorroïdes
Birth order	Rang de naissance
renal damage	atteinte rénale
CAE	CAE
deficiency	déficient
endoscopy	endoscopie
on average	en moyenne
Emergency Medical Service	EMS
claviculectomy	claviculectomie
occupational therapy	ergothérapeute
strain	souche
weight	poids
gout	goutte
arteriovenous fistula	fistule artério-veineuse
Multivariate analysis	Analyse multivariée
Mortality statistics	Statistiques de mortalité
straight	droit
pelvic girdle	ceinture pelvienne
Actinic keratosis	Kératose actinique
reasonable	acceptable
access	abord vasculaire
synovial chondromatosis	chondromatose synoviale
ingredient	constituant
thread	filetage
angina pectoris	angine de poitrine
Urea	Urée
eczema	eczéma
endovascular	endovasculaire
clamping	clampage
ketone	cétone
bacillus	bacille
thrush	muguet
Carcinoma	Carcinomes
Reliability	Fiabilité
healthy	en bonne santé
cytology	cytologie
allergology	allergologie
abnormal pap smear	frottis anormal
insult	accident
Target population	Population cible
tachycardia	tachycardies
Management	Management
phlebitis	phlébite
antioxidant	anti-oxydant
pattern	aspect
Antibody	Anticorps
deltoid muscle	deltoïde
cannula	canule
arrest	arrêt
Pollution	Pollution
FATIGUE	FATIGUE
thrombosis	thrombose
Screening	Dépistage
atherosclerosis	athérosclérose
heart	coeur
laryngeal cartilages	cartilages du larynx
acetabular	acétabulaire
ptosis	ptose
C-reactive protein	CRP
ferritin	ferritine
hot flushes	bouffées de chaleur
breast feeding	allaitement
fibre	fibre
Community medicine	Médecine communautaire
sodium ions	ions Na
area	aire
sequelae	séquelles
antiviral	antivirale
glioma	gliome
cicatrizant	cicatrisante
antibody	anticorps
coronal	frontal
liver disease	maladie du foie
catheter	cathéter
bladder	vessie
excretion	excrétion
haemorrhage	hémorragie
slice	coupe
lower limbs	membres inferieurs
chronic	chronique
coronary angiography	coronarographique
Cholera	choléra
hemangioma	hémangiome
Computer	Ordinateur
Anoxia	Anoxie
atypical form of	forme atypique de
hemiarthroplasty	hémiarthroplastie
buprenorphine	buprénorphine
clinician	clinicien
bromine	brome
changes	altérations
dysplasia	dysplasie
Probability	Probabilité
cardiology	cardiologie
Lymphoma	Lymphome
skin cancer	cancer de la peau
heart disease	cardiopathie
muscle cell	cellule musculaire
Contagion	Contagion
flexion	flexion
cephalosporin	céphalosporine
diet	alimentation
anaesthetic	anesthésique
digitoxin	digitoxine
framework	armature
liver	foie
relax	détendre
creatinine	créatinine
table	le tableau
Multiple regression	Régression multiple
trisodium citrate	citrate trisodique
effective	actif
centriole	centriole
curettage	curettage
estrous cycle	cycle oestral
acute interstitial nephritis	néphrite interstitielle aiguë
Perinatal mortality	Mortalité périnatale
hematemesis	hématémèse
Adjustment	Ajustement
workup	bilan
dyspnea	dyspnée
rim	jante
purposes	objectifs
handicapped children	enfants handicapés
medications	médicaments
Rate	Taux
eclampsia	clampsie
arms	bras
defect	défaut
condyloma acuminata	condylome acuminé
adrenal glands	surrénales
hernia	hernie
cement	ciment
digoxin	digoxine
perinatal mortality	mortalité périnatale
anaemia	anémie
NSAID	AINS
damage	dommage
Modification	Modification
self-report	auto-rapport
palmar fascia	aponévrose palmaire
candidemia	candidémie
staining	coloration
adhesions	adhérences
Chromatin	Chromatine
Hantavirus	Hantavirus
ankle	cheville
South America	Amérique du Sud
Adaptation	Adaptation
kinetic	cinétique
half-life	demi-vie
Acrokeratosis verruciformis	Acrokératose verruciforme
nucleic acid	acide nucléique
Redness	Rougeur
basal cell	cellule basale
gene	gène
mesenteric artery	artère mésentérique
strain	surcharge
ectopic pregnancy	grossesse ectopique
Dermatose	Dermatose
site	foyer
clamp	pince
angiography	angiographie
