Erythema	Erythème
home care	soins à domicile
hot flashes	bouffées de chaleur
warts	verrue
capsulorrhaphy	capsulorraphie
medicine	médicaments
growth	croissance
painful	douloureux
focal	focal
cryotherapy	cryothérapie
long-term	de longue durée
cytolysis	cytolyse
fibroid	fibrome
Epidermis	Epiderme
Chest pain	douleur thoracique
acetabular	acétabulaire
bronchospasm	bronchospasme
fasciitis	aponévrosite
accessory	accessoire
debridement	débridement
bifurcated	bifurqué
antibodies	anticorps
Nephrology	Néphrologie
Drift	Dérive
clinical history	antécédents cliniques
meibomian gland	glande de Meibomius
functional	fonctionnelle
Macrophage	Macrophage
Consanguinity	Consanguinité
Dermatophyte	Dermatophyte
skin graft	greffe cutanée
deformitie	déformation
diaphragmatic hernia	hernie diaphragmatique
Renal insufficiency	Insuffisance rénale
hormone	hormone
hiatal hernia	hernie hiatale
Anti-inflammatory	Anti-inflammatoire
Vesicle	Vésicule
platelet aggregation	agrégation plaquettaire
cardiology	cardiologie
homocystinuria	homocystinurie
ileitis	iléite
disc	disque
Erysipelas	Erysipèle
endometriosis	endometriose
cannula	canule
Risk	Risque
pantothenic acid	acide pantothénique
nervous system	système nerveux
oleic acid	acide oléique
albumin	albumine
allergic	allergique
Premunition	Prémunition
cirrhosis of the liver	cirrhose du foie
anesthetic	anesthesique
pancreatic cancer	cancer du pancréas
bronchitis	bronchite
capsulotomy	capsulotomie
colonoscopy	coloscopie
upper limbs	membres supérieurs
hypertension	hypertension
bacteriology	bactériologie
acetate	acétate
hematoma	hématome
biceps muscle	biceps
alkaloid	alcaloïde
Survey methods	Méthodes d'enquête
carboplatin	carboplatine
Avulsion	Avulsion
Screening	Dépistage
knee joint	articulation du genou
Maternal death	Décès maternel
stores	réserves
Yellow fever	fièvre jaune
bedpan	bassin
diaphragm	diaphragme
ataxia	ataxie
confidentiality	confidentialité
myocardial ischaemia	ischémie myocardique
diarrhea	diarrhée
cardiac arrest	arrêt cardiaque
migraine	migraine
liver disease	maladie du foie
cardiac output	débit cardiaque
lung	le poumon
cavity	cavite
fibrocartilage	fibrocartilage
anal sex	rapports anaux
bursa	bourse
heart	coeur
balm	baume
glucocorticoid	glucocorticoïde
genomics	génomique
Evaluation	Evaluation
extracorporeal	extracorporel
Survival analysis	Analyse de survie
fibrin	fibrine
Tissue	Tissu
dialysis	dialyse
dissociation	dissociation
local anaesthesia	anesthésie locale
embolism	embolie
hirsutism	hirsutisme
diuretic	diurétique
Infestation	Infestation
cesarean section	accouchement par césarienne
at rest	au repos
processing	transformation
consumable	consommable
mammal	mammifère
competitive inhibition	inhibition compétitive
fasciotomy	aponévrotomie
procedure	déroulement
antibiotic	antibiotiques
bacterium	bactérie
chondromatosis	chondromatose
ciproflox	ciproflox
obstruction	occlusion intestinale
Acne	Acné
T wave	onde T
ventricular shunt	dérivation ventriculaire
ipsilateral	homolatéral
antigen	antigène
chondromalacia	chondromalacie
weaning	sevrage
mesenteric artery	artère mésentérique
downward	vers le bas
serious	grave
dorsal	dorsal
peptic	pepsique
C-reactive protein	CRP
epidural fibrosis	fibrose épidurale
unstable angina	angor instable
Carrier	Porteur
hyaline cartilage	cartilage hyalin
AI	IA
color	couleur
Scabies	Gale
tumour	tumeur
status	statut
caudal	caudal
Body mass index	BMI
Doppler	Doppler
girdle	ceinture
arteries	artères
hyperplasia	hyperplasie
bursitis	bursite
cleansing	détersion
dissection	dissection
catabolism	catabolisme
advice	conseil
smoking	tabagisme
laryngitis	laryngites
monitoring	contrôle
COX-1	COX-1
consent	consentement
derivative	dérivé
area	aire
determination	détermination
arms	bras
air embolism	embolie gazeuse
effusion	épanchement
cardiovascular	cardio-vasculaire
gout	goutteuses
Europe	Europe
typology	typologie
coma	coma
multiple sclerosis	sclérose en plaque
normothermia	normothermie
cyclophosphamide	cyclophosphamide
gas chromatography	chromatographie gazeuse
uric acid	acide urique
Creatinine	Créatinine
urinalysis	examen des urines
discectomy	discectomie
discharge	écoulement
Biometry	Biométrie
bone marrow	moelle osseuse
angiogram	angiogramme
tularemia	tularémie
lung cancer	cancer du poumon
Quality of life	Qualité de vie
atrial	auriculaire
Population	Population
Effect	Effet
Proportion	Proportion
fungistatic	fongistatique
osteitis	ostéites
glenoid	glénoïde
Sequential analysis	Analyse séquentielle
numbness	engourdissement
osteogenic fibroma	fibrome ostéogénique
QRS complex	complexe QRS
skin cancer	cancer de la peau
tumors	tumeurs
alopecia	alopécie
folate	folates
anticoagulation	anticoagulation
congestion	congestion
antigenicity	antigénicité
Lesion	Lésion
fibrous sheath	gaine fibreuse
meals	repas
arteriotomy	artériotomie
micro-organism	germe
hearing	audition
breast	sein
gestodene	gestodène
itching	démangeaisons
Cohort study	Etude de cohorte
fibrositis	fibrosite
framework	armature
Sensitivity and specificity	Sensibilité et spécificité
abdominal aortic aneurysm	anévrisme de l'aorte abdominale
Passage	Passage
pathway	trajet
gametocyte	gamétocyte
hernioplasty	hernioplastie
chondroblastoma	chondroblastome
Standardization	Standardisation
haemodynamic	hémodynamique
Purkinje cell	cellule de Purkinje
activity	activité
cholesterol	cholestérol
antidiabetic	antidiabétique
Stratification	Stratification
angioma	angiome
help	aider
cefaclor	céfaclor
apparatus	appareil
Urticaria	Urticaire
Corn	Cor
jaundice	jaunisse
filter	filtre
abnormalities	anomalies
antiepileptic	antiépileptique
frostbite	gelures
ergot	ergoline
analogue	analogique
glucuronide	glucuronide
neutron beam	faisceau de neutrons
sinus bradycardia	bradycardie sinusale
dermatitis	dermatose
serum globulin	globuline sérique
allergology	allergologie
gastroenteritis	gastro-entérites
epilepsy	épilepsie
posture	attitude
colitis	colite
appraisal	évaluation
aconitine	aconitine
ptosis	ptose
Worm	Ver
findings	constatations
thyroide	thyroide
Testicle	Testicul
ill	malade
biopsy	biopsie
adduction	adduction
bursectomy	bursectomie
Demography	Démographie
surgical gloves	gants chirurgicaux
atypical form of	forme atypique de
Prospective study	Etude prospective
reconstructive surgery	chirurgie reconstructrice
self-report	auto-rapport
concha	cornet
Detection	Détection
proctology	proctologie
hives	urticaire
atypical form of	forme fruste de
spasm	spasme
loosening	descellement
circumduction	circumduction
hypocholesterolemic	hypocholestérolémiant
beta blockers	bêta-bloquants
umbilical hernia	hernie ombilicale
strut	entretoise
proximal	en amont de
strain	surcharge
osteoarthritis	ostéoarthrite
cornea	cornée
barotrauma	barotraumatisme
table	le tableau
cough	toux
DNA bank	biothèque
hyperventilation	hyperventilation
liver	foie
hirudin	hirudine
tricyclic antidepressants	antidépresseurs tricycliques
Ulcer	Ulcère
edemas	oedèmes
ambulatory	ambulatoire
impaction	enclavement
to promote	favoriser
Antigenicity	Antigénicité
choline	choline
creatinine	créatinine
discharge	ecoulement
Streptococcus	Streptocoque
rashes	éruptions
exogenous	exogène
Colonization	Colonisation
pathway	parcours
hyperactivity	hyperactivité
radiotherapy	radiothérapie
bone graft	greffon osseux
surgical	chirurgical
cytoplasm	cytoplasme
cancer	cancer
basal cells	cellules basales
Trend	Tendance
deployment	déploiement
sputum	crachat
fluorescein	fluorescéine
atheromatous	athéromateux
cuticle	cuticule
Genome	Génome
amenities	commodités
Norm	Norme
mating	accouplement
anastomosis	anastomose
Nomogram	Nomogramme
fractures	fractures
Urea	Urée
Validity	Validité
laryngeal cartilages	cartilages du larynx
ACR	ACR
hot flushes	bouffées de chaleur
moderate	modéré
low-calorie	hypocalorique
on average	en moyenne
probe	sonde
assessment	répartition
abuse	abus
Cohort	Cohorte
defect	défaut
Chronic	Chronique
arrest	arrêt
Parasite	Parasite
Medical statistics	Statistiques médicales
dysplasia	dysplasie
iliac arteries	artères iliaques
salvage therapy	sauvetage
Management	Management
Adriamycin	Adriamycine
antrum	antre
anterior	antérieur
Trial	Essai
hemopericardium	hémopéricarde
surgeon	chirurgien
focused	concentré
purposes	objectifs
clinician	clinicien
corpse	cadavre
United States	Etats-Unis
clinical trial	essai clinique
medical devices	des dispositifs médicaux
cellulitis	cellulite
finding	découverte
foetal distress	souffrance foetale
colon	côlon
twice a day	deux fois par jour
Ethics	Ethique
sinus rhythm	rythme sinusal
bone graft	greffe osseuse
defective	arriéré
hawthorn	aubépine
arthrography	arthrographie
contralateral	controlatéral
Interaction	Interaction
approximately	environ
Dermatology	Dermatologie
hypercalcemia	hypercalcémie
Lymphoma	Lymphome
blood pressure	PA
driver	conducteur
removal	exérèse
Transovarial transmission	Transmission transovarienne
congenital	congénital
Rest	Repos
Medical care	Soins médicaux
muscular disease	affection musculaire
Doppler ultrasonography	echographie doppler
disorder	affection
phlebitis	phlébite
cartridge	cartouche
colectomy	colectomie
blood clot	caillot sanguin
Kidney failure	Insuffisance rénale
enzymes	enzymes
autopsy	autopsie
changes	altérations
thrill	frémissement
Antibiotic	Antibiotique
Pill	Pilule
intermediate host	hôte intermédiaire
Strategy	Stratégie
vaginal delivery	accouchement par voie basse
LMWH	HBPM
fasciectomy	fasciectomie
category	catégorie
audiology	audiologie
red blood cells	globules rouges
removal	ablation
Latent infection	Infection latente
malaria	paludisme
supplies	approvisionnement
child	enfant
low energy	faible énergie
corticosteroids	corticostéroïdes
tablet	comprimé
fasting	jeune
traceability	traçabilité
Control	Contrôle
ringworm	teigneux
cerebral arteriosclerosis	artériosclérose cérébrale
dysostosis	dysostose
Gonococcus	gonocoque
food poisoning	intoxication alimentaire
balance	equilibre
administration	administration
acute	aigu
aggregate	agrégat
recovery	guérison
emesis	vomissement
Contact dermatitis	Dermatite de contact
calcification	calcification
medical oncology	cancérologie médicale
tonsillitis	amygdalites
decubitus ulcer	escarre
hemothorax	hémothorax
autoimmune	autoimmune
posture	maintien
B12	B12
Therapy	Thérapie
Herpes	Herpès
vertigo	vertige
N	azote
carbohydrates	glucides
disk	disque intervertébral
Bactrim	bactrim
chronicity	chronicité
Peritoneal dialysis	Dialyse péritonéale
erucic acid	acide érucique
injuries	dommages
Anoxia	Anoxie
Electrolysis	Electrolyse
Informed consent	Consentement éclairé
hernia	hernie
seizures	convulsions
TB	tuberculose
Average	Moyenne
ethmoid bone	ethmoïde
therapeutic tools	outils thérapeutiques
Home care	Soins à domicile
New York Heart Association	NYHA
Classification	Classification
healthy	en bonne santé
Modification	Modification
hematological	hématologique
Quality control	Contrôle de la qualité
Mutation	Mutation
straight	droit
calculus	calcul
arthroplasty	arthroplastie
alcohol	alcool
exercise	exercice
cytometry	cytométrie
Allergy	Allergie
data	donnée
coronary artery	artère coronaire
hemoperitoneum	hémopéritoine
guiding catheter	cathéter-guide
ganglion cell	cellule ganglionnaire
Chloasma	Chloasma
leukaemia	leucémie
Aesthetic	Esthétique
needle	aiguille
Measurement	Mesure
uterine fibroids	fibromes utérins
Association	Association
pouch	cul-de-sac
otitis media	otite moyenne aiguë
Finger	Doigt
Genital herpes	Herpès génital
Expressivity	Expressivité
estrous cycle	cycle oestral
19-norprogesterone	19-norprogestérone
Acarid	Acarien
aponeurosis	aponévrose
biological activity	activité biologique
root canal	canal dentaire
Scale	Echelle
asthmatic	asthmatique
pelvic	pelvien
Weight	Poids
chemotherapeutic	chimiothérapeutique
chondroma	chondrome
sudden cardiac death	mort subite
chromosome	chromosome
plex	Plex
detection	détection
Health education	Education sanitaire
lacunar	lacunaire
Albinism	Albinisme
anaemia	anémie
conventional	conventionnel
heparin	héparine
lactic bacteria	bactéries lactiques
Meta-analysis	Méta-analyse
Dengue fever	Dengue
gauze	compresse
coagulant	coagulant
instrument	instrument
film	film
ventricle	ventricule
glioma	gliome
Pigment	Pigment
endocrinal	endocrinien
antibacterial	antibactérienne
Precision	Précision
confirmatory	confirmatoire
aperitif	apéritif
lungs	poumons
experience	expérience
antibiotic therapy	antibiothérapie
expression	expression
Campylobacter	Campylobacter
Proteinuria	Protéinurie
consideration	considération
Cholera	choléra
allantoin	allantoïne
Prevention	Prévention
loss of consciousness	Perte de connaissance
refers to	correspond
Reproducibility	Reproductibilité
keratinocyte	kératinocyte
repolarization	repolarisation
oligosaccharide	oligosaccharide
Virulence	Virulence
menopause	ménopause
Zoonosis	Zoonose
crohn's disease	maladie de Crohn
acquired	acquise
handicapped children	enfants handicapés
Renal failure	Insuffisance rénale
hepatitis	hepatite
arthritis	arthrite
Taxonomy	Taxinomie
medications	médicaments
anabolism	anabolisme
Risk factor	Facteur de risque
Causality	Causalité
Morbidity	Morbidité
hypoesthesia	hypoesthésie
Allergic reaction	Réaction allergique
Inference	Inférence
whooping cough	Coqueluche
oats	avoine
yawning	baillement
cement	ciment
Albino	Albinos
tonsils	végétations adénoïdes
haemolytic anaemia	anémie hémolytique
