17a-dihydroequilin	17a-dihydroéquiline
cat scan	tomodensitométrie
CAT scan	tomographie
caudal	caudal
Causality	Causalité
Cause-deleted life table	Table de survie après exclusion d'une cause spécifiée de décès
Causes of death	Causes de décès
causes pain to someone	s'endoulerer
Cause-specific rate	Taux par cause
cauterisation	cautérization
cavity	carie
cavity	cavite
cefaclor	céfaclor
cefazolin	céfazoline
Celiac artery	CA
cell	cellule
cell membrane	membrane cellule
Cell regeneration	Régénération cellulaire
cells	cellules
Cellulitis	Cellulite
cellulitis	cellulite
cement	ciment
Censored data	Données censurées
Censoring	Censurer
Census	Recensement
Census tract	Secteur de recensement
Centile	Centile
central nervous system disease	affection du système nerveux central
central pain	douleur d'origine centrale
Centre for Clinical Research and Investigation	CRIC
centriole	centriole
cephalad	En direction céphalique
cephalexin	céfalexine
cephalosporin	céphalosporine
Ceratitis	Kératite
cerclage wiring	cerclage-haubanage
Cerebovascular accident	CVA
cerebral arteriosclerosis	artériosclérose cérébrale
cerebral palsy	infirmité motrice cérébrale
cerebral palsy	paralysie cérébrale
Cerebral venous sinus thrombosis	thrombophlébite de la veine cérébrale
cerebro-cardiac	cérébro-vasculaire
cérébrol	cérébrol
Cerotic	Cérotique
certificat d'études spéciales	C.E.S
certificate of hospitalization	un bulletin d'hospitalisation
ceruminous gland	glande cérumineuse
cervical cap	Diaphragme cervical
cesarean section	accouchement par césarienne
Cessation experiment	Expérience par arrêt de l'exposition
cessation of blood flow	arrêt du passage du sang
chafing of the skin	échauffement cutané
challenge	révélation
change	changement
changes	altérations
Changing mat	Matelas à langer
Changing mattress	Matelas à langer
chaplain	aumonier
Chapped skin	Engelure
chart	le dossier medical
Check digit	Octet de validation
Checking of data	Vérification des données
check-up	bilan de santé
cheekbone	-pommate
cheloids	chéloîdes
chemiluminescence	chimioluminescence
Chemoprophylaxis	Chimioprophylaxie
chemoreceptor	chimiorecepteur
chemotherapeutic	chimiothérapeutique
Chemotherapy	Chimiothérapie
chemotherapy	chimiothérapie
Cherry polypus	Polype en forme de cerise
Cherry red spot	Tache rouge cerise
Chest pain	douleur thoracique
chest	poitrine
chicken breast	thorax en carène
Chicken pox	Varicelle
chicken pox	varicelle
chief engineer	ingénieur en chef
chiken pox	varicelle
childhood illness	maladie d'enfance
childproof	voir explications
chills	frissons
Chloasma	Chloasma
chlorophyll	chlorophylle
Chlorosis	Chlorose
choke	s'etrangler
choke	suffocation
cholecalciferol	cholécalciférol
cholecystic diseases	Cholécystopathies
choledochotomy suture	suture de cholédocotomie
Cholera	choléra
Cholesteatoma	Cholestéatome
cholesterol	cholestérol
choline	choline
chondrectomy	chondrectomie
chondriosome	chondriosome
chondroblast	chondroblaste
chondroblastoma	chondroblastome
chondrodysplasia	chondrodysplasie
chondrodystrophy	chondrodystrophie
chondroitins	chondroïtines
chondroma	chondrome
chondromalacia	chondromalacie
chondromalacia patellae	chondromalacie rotulienne
chondromatosis	chondromatose
chondroporosis	chondroporose
chondrosarcoma	chondrosarcome
chondrotomy	chondrotomie
Chorio-melanoma	Sarcome choroïdien
choroiditis	choroïdite
choroid plexus tumours	tumeur du plexus
Christian science practitioner	praticien en science chrétienne
Chromatin	Chromatine
chromatin	chromatine
Chromatophoroma	Chromatophorome
Chromium Picolinate	Picolinate de chrome
Chromosomal anomaly	Aberration chromosomique
chromosomal	chromosomique
Chromosome	Chromosome
chromosome	chromosome
Chronic	Chronique
chronic	chronique
chronic fatigue	fatigue chronique
chronicity	chronicité
Chronic Kidney Disease	Insuffisance Rénale Chronique
chronic neurological pain	douleurs chroniques d'origine neurologique
Chronic obstructive pulmonary disease	COPD
chronic renal failure	CRF
chropractor	chiropracteur
Chymostasis	Stase intestinale du chyme
cicatrizant	cicatrisante
ciliary gland	glande ciliaire
cilium	cil
ciprofloxacin	ciprofloxacine
ciproflox	ciproflox
circular hemorrhage	hémorragie en nappe
circulating nurse	panseuse
circulation	circulation
circumcision	circoncision
circumduction	circumduction
Circumflex	Cx
circus movement	mouvement tournant
cirrhosis	cirrhose
cirrhosis of the liver	cirrhose du foie
cisplatin	cisplatine
cisterna chyli	citerne du chyle
cistern of Pecquet	citerne de Pecquet
Clammy skin	Peau froide et moite
clamp	clamp
clamped	clampé
clamping	clampage
clamp	pince
Class	Classe
Classification	Classification
Classification of diseases	Classification des maladies
Class social	Classe sociale
claviculectomy	claviculectomie
Cleansing bar	Pain de toilette
cleansing	détersion
Cleansing milk	Lait nettoyant
Cleansing	Nettoyage
clearance	blanchiment
cleidocranial dysostosis	dysostose cléido-crânienne
Clinical course in the department	Evolution dans le service
Clinical epidemiologist	Spécialiste en épidémiologie clinique
Clinical epidemiology	Epidémiologie clinique
clinical history	antécédents cliniques
clinical justification	argumentaire clinique
clinically healthy	au statut conventionnel
clinical stage II trial	essai clinique de phase II
clinical stage I trial	essai clinique de phase I
clinical staging	classification clinique
Clinical trial	Essai clinique
clinical trial	essai clinique
clinical union	consolidation clinique
clinician	clinicien
clip	agrafe
clockwise	dans le sens des aiguilles d'une montre
clogging	encombrement
Closed cohort	Cohorte fermée
closed fracture	fracture fermée
Closed question	Question fermée
clot	caillot
cloudy vision	vision trouble
clumping	compression
Cluster analysis	Analyse d'agrégats
Clustering	Formation d'agrégats ou de grappes
Cluster sampling	Echantillonnage en grappes
CMP 3-deoxy ...	3-desoxy CMP...
cmv	virus d'herpes
coagulant	coagulant
co-amoxyclav acid	association amoxycilline + acide clavulanique
coarse	grossier
coated tablet	comprimé pelliculé
coats ring	anneau cornéen de Coat
Cobalamin	Cobalamine ou vitamine B12
coccygodynia	coccygodynie
coccygotomy	coccygotomie
coccyx	coccyx
codeine	codéine
Coding	Coder
Coefficient of variation	Coefficient de variation
cognitive	cognitif
Cognitive decline	Détérioration des fonctions cognitives
cognitive lapses	trou bleu cognitif
Coherence	Cohérence
Cohort analysis	Analyse de cohorte
Cohort	Cohorte
Cohort incidence	Incidence dans une cohorte
Cohort slopes	Représentation graphique des taux par âge pour les cohortes de naissance
Cohort study	Etude de cohorte
Cointervention	Co-intervention
Cold abscess	Abcès froid
Cold chain	ChaÓne du froid
cold or flu	rhume ou grippe
cold	rhume
Cold sweat	Sueur froide
colectomy	colectomie
colic	coliques
colitis	colite
collagen	collagène
collagenosis	collagénose
collagenous fibre	fibre collagène
collapsed lung	collapsus pulmonaire
Collectively exhaustive classes	Classes collectivement exhaustives
Colle's fracture	fracture de Colle
collimation	collimation
Collinearity	Co-linéarité
Colloidal Silver	Argent colloïdal
colon	côlon
colonic mucosa	muqueuse de type colique
Colonization	Colonisation
colonoscopy	coloscopie
colon polyps	polype colon
colonscopy report	dossier de coloscopie
Colopathy	Colopathie
colposcopist	colposcopiste
coltis	colite
columnar cell	cellule cylindrique
columnar cell	cellule prismatique
Column of Bertin	Colonne de Bertin
coma	coma
combination of risk alleles	combinaison d'allèles à risque
Comedo	Comédon
Comfrey	Consoude
commander-in-chief	commandant en chef
Commensal	Commensal
comments	commentaires
commercially prepared homeopathic remedies for colic	préparations homéopathiques du commerce dans le traitement des coliques
comminutive fracture	fracture comminutive
commitment	engagement
common iliac artery	artère iliaque commune
commonly in high concentration	historiquement élevés
Common source epidemic	Epidémie de source commune
Common vehicle spread	Transmission par véhicule commun
Communicable disease	Maladie transmissible
Communicable period	Période de transmissibilité
communication	communication
community acquired	extra-hospitalière
community and social services	programmes communautaires et services sociaux
community-based private practice	médecin libéral vs médecin hospitalier
Community diagnosis	Evaluation de l'état de santé d'une collectivité
Community health	Santé communautaire
Community medicine	Médecine communautaire
Community trial	Essai dans une collectivité
Comparison group	Groupe de comparaison
Compendia listing	compendium médical
Compendium of Pharmaceuticals and Specialties	Compendium des produits et spécialités pharmaceutiques
compensatory leave re. overtime	récupération des heures supplémentaires
compensatory mechanisms	mécanismes de compensation
Competing cause	Cause concurrente
Competing risk	Risque concurrent
competitive inhibition	inhibition compétitive
complaint	doléance
complaints	inconvénients
Completed fertility rate	Descendance finale
complete heart block	bloc complet
Completing the clinical picture	Compléter le tableau clinique
Completion rate	Pourcentage de sujets avec données complètes
Complex Fractionated Electrograms	électrogrammes complexes fractionnés
Compliance	Observance
compliant	conformant
component	composant
Composite index	Indice composite
compounds	politique des composés extemporanés
compression fracture	fracture par tassement
compress wrapping	compresse d'arobage
computer compatible	compatible informatique
Computer	Ordinateur
concha	cornet
conchae	cornets
conclusions	conclusions
concomitant	parallèles
Concordance	Concordance
concurrent	simultanée
Concurrent study	Etude de cohorte
Conditional Drug Formulary™	Formulaire des médicaments conditionnelsMC
conditional drugs	médicaments conditionnels
Conditional probability	Probabilité conditionnelle
conduction	conduction
conductivity	conductibilité
conductor	chef d'orchestre
condyle	condyle
condyloid joint	articulation condylienne
condyloid joint	condylarthrose
condyloma acuminata	condylome acuminé
Condyloma of the penis	Condylome pénien
Confidence interval	Intervalle de confiance
Confidentiality	Confidentialité
confidentiality	confidentialité
confirmatory	confirmatoire
conformity	conformité
Confounding	Confusion
congenital	congénital
congenital heart disease	cardiopathies congénitales
congestion	congestion
conjugate	conjugué
connecting canaster	canister de liaison
connector	connecteur
connnective tissue disorder	trouble de tissue conjonctif
Consanguinity	Consanguinité
consent	consentement
Consequences	Séquelles
conservative patch-test	test épicutané ou test cutané ou
conservative patch-test	test épicutané ou test cutané ou patch-test fermé
conservative patch-test	test épicutané pu test cutané oupatch-test fermé
consideration	considération
consistency of skin	consistance de la peau
consistent radial force	force radiale constante
constipation	constipation
consultant	consultant
Consult instructions for use.	Veuillez consulter le mode d'emploi.
consumable	consommable
consumption	consommation
Contact dermatitis	Dermatite de contact
contact dermatitis	dermatite de contact
contact with Mycobacterium Tuberculosis Bacilli	URGENT: Contage tuberculeux bacillifère
Contagion	Contagion
containment group	groupe de contenance
Containment	Quarantaine régionale
Contaminated supplementary materials	Matériels annexes ou matériels accessoires
Contamination	Contamination
Contingency table	Table de contingence
contingent reversion	la revision conditionnelle
Contingent variable	Variable intermédiaire
continuous access	accès permanent
Continuous blood pressure measurement	CBPM
Continuous data	Données continues
continuous IV	continuous IV
continuous monitoring ... in the future	veille prospective
Continuous positive airway pressure	CPAP
Continuous variable	Variable continue
contractile cells	cellules contractiles
contraction	contraction
contracture	contracture
contraindicated	contre-indiqué
contraindicated	conttraint dit
Contra-indication	Contre-indication
contraindication	contre-indication
contralateral	controlatéral
contrast	contraste
Control	Contrôle
control	contrôle
controlled environment under nitrogen	zone contrôlée sous atmosphère dazote
Controlled formulary	Formulaire des médicaments contrôlés
controller therapy	Traitement d'entretien
Control of confounding	Contrôle des variables de confusion Contrôle des variables confondantes
contused	contuse
Contusion	Contusion
contusions	contusions
conventional	conventionnel
conventional treatment	traitement conventionnel
convulsion	convulsion
convulsions	convulsions
convulsive shock	convulsivothérapie
cooker	fricoteur
Cooling teether	Anneau de dentition à réfrigérer
Coordinates	Coordonnées
coordination	coordination
Copaxone	Copaxone
copd	bronchopneumopathie
co-polymer	co-polymère
Co-primary efficacy measures	les deux principaux critères d'efficacité
copy of relevant paraclinical investigations	copie des examens para-cliniques pertinents
cord	cordage tendineux
Cordon sanitaire	Cordon sanitaire
cordotomy	chordotomie
corium	corium
Corn	Cor
cornea	cornée
coronal fine cuts	coupes fines coronales
coronal	frontal
coronary angiography	coronarographique
coronary artery	artère coronaire
coronary artery disease  CAD	maladies coronariennes
coronary guiding catheter	cathéter-guide coronaire
Corpectomy	corpectomie
corpse	cadavre
Correlation coefficient	Coefficient de corrélation
Correlation	Corrélation
corrugated drain	lame multi-tubulée
cortex of bone	cortex osseux
cortical	cortical
cortical stroke	accident cortical
Corticosteroid	Corticostéroïde
corticosteroid	corticostéroïde
corticosteroids	corticostéroïdes
cortisol	cortisol
cortisone drug	cortisone synthétique
cortisone therapie	corticothérapie
Cost-benefit analysis	Analyse coÝts-avantages
Cost-effectiveness analysis	Analyse coÝt-efficacité
costosternal joint	articulation chondro-sternale
Cost Plus	Coût Plus
cost share	repartion des charges
Cost-utility analysis	Analyse coÝt-utilité
cot deaths	morts subites
cotton swab	le coton-tige
cotton swab	tige de coton
cough	toux
counter clockwise	dans le sens contraire de celui des aiguilles d'une montre
Covariance	Covariance
Covariate	Co-variable
Coverage	Couverture
Coverage for approved fees	Prise en charge du règlement agréé
coxa flexa	coxa flexa
coxalgia	coxalgie
coxarthritis	coxite
coxa vara	coxa vara
Cox model	Modèle de régression à effet proportionnel Modèle de Cox
coxofemoral joint	articulation coxo-fémorale
Cpsl	Capsule
Crab lice	Poux du pubis
Crack	Gerçure
Cradle crap	Croûtes de lait
cradle	le combine
cramping	crampes
cranberry	canneberge
craniad	en direction crânienne
cranial cavity	boîte crânienne
cranial ultrasound	echographie cérébrale
C-reactive protein	CRP
Creatinine	Créatinine
creatinine	créatinine
creeping paralysis	ataxie locomotrice
crepitation	crépitation
cricoarytenoid joint	articulation crico-aryténoïdienne
Criminal Injuries Compensation Board	Commission des blessures criminelles
criteria	critères
Criterion	Critère
crohn's disease	maladie de Crohn
Cronbach's alpha	Coefficient alpha de Cronbach
Cross-cultural study	Etude transculturelle
crossing vs insertion	franchissement vs insertion
cross-linking assay	essai de réticulation
cross-over	croisement
Crossover design	Plan d'étude croisé
Cross-product ratio	Rapport des cotes Rapport des produits croisés dans une table 2 x 2
Cross-sectional study	Etude transversale
crown	courronne
Crown of artichoke	corolle d'artichaut
Crude death rate	Taux brut de mortalité
crying from hunger	pleurer de faim
crying	pleurs
cryotherapy	cryothérapie
cryptic	dissimulé
Cryptococcus	cryptocoque
csf	lcr
cuboid cell	cellule cubique
culturally	au moyen de cultures
Cumulative death rate	Taux de décès cumulés
Cumulative incidence rate	Incidence cumulative
Cumulative incidence ratio	Rapport des incidences cumulatives
Cumulative survival rate	Probabilité cumulative de survie
cuneiform cartilage	cartilage cunéiforme
cup	cotyle
cure	guérison
curettage	curettage
current fertility	fécondité du moment
current field	champ électrique
current pathway	direction du choc
curvatrue	courboure verterale
Cushings syndrome	syndrome de Cushing
Customised hip implants	Fait sur mesure
Cusum	Acronyme pour 'somme cumulative d'une série de mesures'
cutaneoplantar reflexes	reflexes cutanéoplantaires
Cutaneous absorption	Absorption percutanée
cutaneous ellipse	ellipse cutanée
cutaneous gland	glande cutanée
Cut	Coupure
Cuticle	Cuticule
cuticle	cuticule
Cutis anserina perpetua	Pernion folliculaire acuminé de Klingmueller-Dittrich
cutting	decoupage
CV delay	délai CV
CXCR4-dependent signaling pathway	voie de signalisation CXCR4-dépendante
cyanocobalamin	cyanocobalamine
Cyanosis	Cyanose
Cyclooxygenase	Cyclo-oxygénase
cyclooxygenase	cyclo-oxygénase
cyclophosphamide	cyclophosphamide
Cyclosporin	Cyclosporine
Cyst count	Décompte des kystes
cyst formation	formation de kystes
Cystic acne	Acné kystique
cystic fibrosis	fibrose cystique
cystic fibrosis	mucoviscidose
cystic fibrosis	mucovisicidose
cystic osteofibromatosis	dysplasie fibreuse des os
cystitis	cystite
Cyst	Kyste
Cysts of the nose	Kystes du nez
cytology	cytologie
cytolysis	cytolyse
cytolysis with elevated ALT levels	cytolyse ALAT
cytometry	cytométrie
cytoplasm	cytoplasme
cytoscopy	cytoscopie
d-alpha-tocopherol	d-alpha-tocophérol
damage	dégât
damaged	endommagé
damage	détérioration
damage	dommage
damiana	damiane
Dandruff	Pellicule
data	donnée
Data processing	Traitement des données
Date of birth	Date de naissance
Date of death	Date de décès
daughter cell	cellule fille
Day Nursery Act	Loi des pouponnières
ddc	ddc
deafness	surdité
Death certificate	Certificat de décès
death	décès
Death rate	Taux de décès
Death registration area	Zone d'enregistrement des décès
debridement	débridement
Decision analysis	Analyse décisionnelle
decision for surgical debridement	Décision de regularisation
Decision tree	Arbre de décision
decreased gag	réflexe de haut le coeur diminué
decubitus ulcer	escarre
Deduction	Déduction
deep cervical node	ganglion latéral profond du cou
deep cleaning	nettooyage profondément dentaire
deeper layer	chorion
deep fascia	aponévrose profonde
Deep tendon reflexes	DTR
Deep vein thrombosis	DVT
defect	défaut
defective	anormal
defective	arriéré
defective	en mauvais état
defibrillator	défibrillateur
deficiency	déficient
deficiency	insufficience
definitive host	hôte définitif
deflate	dégonfler
deflation	dégonflage
deflation	dégonflement
deformability	déformabilité
deformitie	déformation
degeneration	dégénérescence
degenerative	dégénératif
degenerative neurologic disorder	affection neurologique dégénérative
Degree of moisture	Degré d'hydratation
Degrees of freedom	Degrés de liberté
dehydrated	déshydraté
Dehydroepiandrosterone	Déhydroépiandrostérone
delirium tremens	tremens de delirium
Delivery	Accouchement
delivery note	bulletin d'envoi
deltoid muscle	deltoïde
Demographic transition	Transition démographique
Demography	Démographie
Demonstration model	Modèle de démonstration
dendrite	dendrite
dendrite membrane	dendrolemme
dendritive	dendritique
Dengue fever	Dengue
denied surgery	récusé chirurgicalement
Denominator	Dénominateur
densitometry	densitométrie
Density of population	Densité de la population
Density sampling	Echantillonnage du type densité
Dependent variable	Variable dépendante
Depigment	Dépigmenter
deployment	déploiement
depolarization	dépolarisation
depressed fracture	embarrure
depressed fracture	enfoncement
deprivation	désafférence
déreglement immunitaire	immune disorder
derivative	dérivé
Derma	Derme
dermal papilla	bulbe pileux
Dermal ulcer	Ulcère dermique
Dermal uptake	Absorption dermique
dermatitis	dermatose
dermatitis	dermite
Dermatocandidiasis	Dermatocandidose
Dermatogen	Dermatogène
Dermatography	Dermatographie
dermatography	dermatographie
dermatography	dermographisme
dermatological compounds	composés dermatologiques
Dermatological	Dermatologique
Dermatologist	Dermatologue
Dermatology	Dermatologie
dermatology	dermatologie
dermatome	dermatome
Dermatomycosis	Dermatomycose
Dermatophyte	Dermatophyte
Dermatophytosis	Dermatophytose
dermatoscopy	dermatoscopie
Dermatose	Dermatose
Dermatosis	Dermatose
Dermis	Derme
Descriptive epidemiology	Epidémiologie descriptive
Descriptive study	Etude descriptive
Design	Plan d'étude
Design variable	Variable contrôlée par le plan de l'étude
desmosome	desmosome
Desquamation	Desquamation
destroys the abnormal tissue	détruit la zone
detachable	amovible
Detection	Détection
detection	détection
Determinant	Déterminant
determination	détermination
deterrent fees	franchises de prévention
detoxicant	désintoxiquant
detoxication	désintoxication
Detrusitol	Détrusitol
develop	apparaître
develop	faire
developmental disability	infirmité en evolution
development	développement
device	appareil
device	dispositif
devil's claw	griffe du diable
DF or defib	défibrillation
diabetes CV-outcome clinical trials	études de la morbi-mortalité cardiovasculaire liée au diabète
diabetes	diabète
diabetes mellitus	diabète sucré
diabetic	diabétique
diagnose	diagnostiquer
Diagnosis	Diagnostic
diagnosis	diagnostic
Diagnosis with sufficient medical information	Diagnostic argumenté avec linformation médicale nécessaire
diagnostic	diagnostique
Diagnostic index	Fichier des patients par diagnostic
diagnostic tools	outils diagnostics
dialysis	dialyse
dialyzer	dialyseur
diameter	diamètre
diaphragmatic hernia	hernie diaphragmatique
diaphragm	diaphragme
diaphyseal dysplasia	dysplasie diaphysaire
diarrhea	diarrhée
diarrhea	diarrhées
diarrhoea	diarrhée
diarthrodial joint	articulation diarthrodiale
diarthrosis	diarthrose
diathermy	diathermie
Dichotomous variable	Variable dichotomique
diet	alimentation
diet controlled	maitrisé par le régime alimentaire
dietician	Diététicien
Diet	Régime alimentaire
diets	régimes
different degrees of severity	plusieurs degrés
Differential misclassification	Erreur de classification différentielle
Diffusion capacity of lung for carbon monoxide	DLCO
digitalism	digitalisation
digitoxin	digitoxine
Digit preference	Préférence pour les chiffres ronds Préférence pour certains chiffres terminaux
digoxin	digoxine
dilatation	dilatation
dilated cardiomyopathy	cardiopathie dilatee
dilution ranges	gammes de dilution
Dimensionality	Dimensionalité
diminished enhancement	défauts de rehaussement
diphteria immunisation	vaccin anti-diphtérique
diplosome	diplosome
Direct adjustment	Ajustement direct
Direct standardization	Standardisation directe
Dirtily	Salement
disability and disabling evolution	invalidité et évolution invalidante
disability	handicap
Disability	Incapacité
disc degeneration	dégénérescence discale
disc disease	discopathie
disc disease	hernie discale
disc	disque
discectomy	discectomie
discharge	à la date de la sortie...
discharged	autorise a quitter l'hopital
discharge	depart
discharge	ecoulement
discharge	écoulement
discharge orders	ordres de medecin pour sortir de l'hopital
discharge papers	sortie d'hopital
discharge	sortie d'hôpital
discharge summary	Compte-rendu d'hospitalisation
discission	discision
discography	discographie
Discolouration	Décoloration
Discrete data	Données discrètes
Discrete variable	Variable discrète
Discriminant analysis	Analyse discriminante
Discussion Guide	Guide de discussion
Disease frequency survey	Enquête sur la fréquence des maladies
Disease label	Diagnostic
disease	maladie
Disease	Maladie
Disease odds ratio	Rapport des cotes de maladie
Disease registry	Registre des maladies
diseases of the vas deferens	maladies déférentes
Disease taxonomy	Taxinomie des maladies
disinfection and cleaning	aseptisation et nettoyage
disinfection	aseptisation
Disinfection	Désinfection
Disinfestation	Désinfestation
disk	disque intervertébral
disks of filter paper	papier confettis
dislocation	déboîtement
disorder	affection
disorders	anomalies
Dispersion	Dispersion
Disposable	à usage unique
disposal instructions	instructions concernant la mise à disposition
dissection	dissection
Disseminated eczema	Eczéma disséminé
dissociation	dissociation
Distal convoluted tubule	Tube contourné distal
distal	distal
distal end	extrémité distale
distal spacer resection	excision de l'espaceur distal
Distorter variable	Variable confondante
distress	détresse
distress	souffrance
Distribution	Distribution
Distribution function	Fonction de distribution
disturbance	délogement
diuretic	diurétique
diuretics	diurétiques
divert aqueous humor	divertir l'humeur aqueuse
DIY medical checks	autoexamen
dizzy-	vertigineux
DNA bank	biothèque
Docetaxel	Docétaxel
doctor	docteur
dog rose	églantier
dopamin	dopamine
Dopamine Agonists	Agonistes dopaminergiques
Doppler	Doppler
Doppler ultrasonography	echographie doppler
dorsal	dorsal
dosage	dosage
dose dependant	dose-dépendant
dose limiting	dose-limitant
Dose-response relationship	Relation dose-effet
double doctoring	obtention dordonnances multiples
double effusion sign	Le signe du double épanchement
Down	Duvet
down's syndrome	mongolisme
downs syndrome	trisomie
downward	vers le bas
drainage device	un appreil de drainage
drainage	drainage
dreglement climatique	climate disturbance
Drift	Dérive
Drill-biopsie	Ponction-bopie
drill bit	mèche
drip	goutte à goutte
driver	conducteur
drop in clinic	centre d'acceuil
drop in clinic	centre d'acceuil sans rendez vous
drop in hearing	baisse de l'audition
Droplet nuclei	Gouttelettes de Flügge
droplet nuclei	gouttelettes de Pflügge
drug class	catégorie du médicament
drug rash	eczéma médicamenteux
Drug Special Authorization form	formulaire dAutorisation spéciale de médicaments
drugs to slow the heart rate	médicaments pour ralentir
drug to drug separation	sans problème d'administration conjointe
Dry ice	Neige carbonique
dry mouth	bouche sèche
Dryness	Desséchement
Dry skin	Peau sèche
dry skin	peau sèche
Dual Chromogen Staining	double coloration par l'emploi des chromogènes
Duchenne type dystrophy	dystrophie musculaire progressive type Duchenne
ductless	dépourvu de canal excréteur
dull pain	douleur sourde
duly noted	prise en note
Dummy variable	Variable indicatrice
dura	dure-mère
during open-chest surgery	à thorax ouvert
dydyrmiv lupud	systemique lupus
Dynamic population	Population dynamique
dynamic postural control and asymmetry	stratégie dynamique d'asymmétrie
dyschondroplasia	dyschondroplasie
dyschondroplasia	enchondromatose
dysmenorrhea	dysménorrhée
dysostosis	dysostose
dyspepsia	dyspepsie
dysplasia	dysplasie
dyspnea	dyspnée
dystrophy	dystrophie
ear drum	membrane du tympan
early breast carcinoma	cancer primaire du sein
early diagnosis	diagnostic précoce
early diagnosis	diagnostique précoce
Early neonatal mortality rate	Taux de mortalité néonatale précoce
early school-age child	enfant de l'âge de la maternelle
Early warning system	Système d'alerte rapprochée
ear problems	problèmes d'oreilles
Ear thermometer	Thermomètre auriculaire
Eating habits	Habitudes alimentaires
Ecchymosis	Ecchymose
Echinococcus	Echinocque
eclampsia	clampsie
eclampsie	eclampsie
Ecological analysis	Analyse écologique
Ecological correlation	Corrélation écologique
Ecological fallacy	Sophisme écologique
Ecological study	Etude écologique
Ecology	Ecologie
Ecosystem	Ecosystème
ectopic pregnancy	grossesse ectopique
ectoplasm	ectoplasme
Eczema	Eczéma
eczema	eczéma
Eczema marginatum	Eczéma marginé
Edema of the lower limbs	ELL
edemas	oedèmes
Effect	Effet
effective	actif
effective	efficace
effectiveness	efficacité
Effectiveness	Efficacité
Effective sample size	Taille d'échantillon effective Taille d'échantillon après exclusions et abandons
effective travel	course utile
Effect measure	Mesure de l'effet
Effect modifier	Facteur modifiant
efferent	efférent
Effervescent table	Eff tblt
Efficacy	Utilité
efficacy vs effectiveness	Efficacité potentielle versus efficacité réelle
Eff tblt	Effervescent table
effusion	épanchement
Egg count	Décompte des oeufs
Ejection fraction	EF
eject the blood	éjectent le sang
ekg	electrocardiogramme
ekg	electroencephalogram
elastic basket	paroi élastique
elastic fibre	fibre élastique
elbow	coude
elderberries	baies du sureau
elderberry	baie de sureau
elderly	âgé
electrical impulses	impulsions électriques
electrodes	électrodes
Electrolysis	Electrolyse
electronic speech synthesizers	synthétiseurs électroniques de la parole
Elimination	Elimination
embolectomy	embolectomie
embolisation solely	l'embolisation seule
embolism	embolie
embolization	embolisation
embolus	embole
embryo	embryon
embryology	embryologie
emergency cash advance	depennage d'avance en especes
Emergency Medical Service	EMS
emergency room visit	visite de premiers secours
emesis	vomissement
emotional instability	dinstabilité émotionnelle
Empirical	Empirique
Employer Payroll System	système de paie de lemployeur
empyema	empyème
Enanthema	Enanthème
Encephalopathy	Encéphalopathie
Encounter	Rencontre
End-Diastolic Volume	EDV
Endemic disease	Maladie endémique
endocrinal	endocrinien
endocrine	endocrinienen
endocrinology	endocrinologie
Endoderm	Endoderme
end of haemodynamic support	sortie hémodynamique
endometrial cancer	cancer de lendomètre
endometriosis	endometriose
endometrium	endometre
endomyosium	endomyosium
endoneurium	endonèvre
endoplasm	endoplasme
endoprosthesis device	dispositif endovasculaire
endoscopy	endoscopie
endosteum	endoste
endothelial dysfunction	dysfonctionnement endothélial
endothelial	endothélial
endothelium	endothélium
endovascular	endovasculaire
endovascular repair	chirurgie endovasculaire
end spool	bobine d'extrémité
End stage renal disease	Insuffisance rénale terminale
End stage renal failure	Insuffisance rénale terminale
End-Systolic Volume	ESV
end-to-side prostheto-prosthetic anastomosis	anastomose prothéto-prothétique latéro-terminale
endurance athletes	sportifs dendurance
endurance sports	sports dendurance
engineering	génie
enlarged cardiac silhouette	étalement cardique
enlarged lymph glands	augmentation de glandes lymphatiques
enlarged lymph glands	ganglions lymphatiques dilatés
enlarged spleen	dilatation de la rate
enteritis	entérite
Entire Word	Abbreviation
enuresis	voir bed wetting
Environmental stress	Agressions dues à l'environnement
Environment	Environnement
enzyme activator	activateur enzymatique
enzyme	enzyme
enzyme pathway	voie enzymatique
enzymes	enzymes
enzymes system	complexe enzymathique
Eosinophilic peri-orificial granuloma	Granulome éosinophile péri-orificiel
Epidemic curve	Courbe épidémique
Epidemic	Epidémie Epidémique
Epidemic	Epidémique
Epidemiologist	Epidémiologiste
Epidermic	Epidermique
Epidermis	Epiderme
epidural anaesthesia	anesthésie épidurale
epidural  anesthesia	epidural anesthesie
epidural fibrosis	fibrose épidurale
epigastric	epigastre
epiglottic cartilage	cartilage épiglottique
epilepsy	epilepsie
epilepsy	épilepsie
epiphyseal cartilage	cartilage d'accroissement
Episode	Episode
epithelial cell	cellule épithéliale
epitope spread	libération d'épitopes autoantigéniques
Epornithic	Epizootie aviaire
epsomsalt	SEL D'EPSOM
equipment	équipement
equipment for prevention or treatment of decubitus ulcers	équipement pour la prévention ou le traitement des ulcères de décubitus
ergot	ergoline
erucic acid	acide érucique
eruption charts	les tables de sortie maxillaires
Eruption	Eruption
Erysipelas	Erysipèle
erysipeloid	rouget
Erythema	Erythème
Erythema gyratum Fuchs	Érythème polymorphe circiné de Fuchs
erythema pernio	engelures
erythrocyte	hématie
Erythropoietin	érythropoïétine
esophagus	esophague
esphogus	aesophage
essential fatty acid	acides gras essentiels
